"Theta [deg]","dB(GainTotal) [] - Freq='0.062GHz' Phi='90deg'"
-90,-inf
-89,-2.04707560320603
-88,-2.028564274434
-87,-1.99794619885091
-86,-1.95556454124991
-85,-1.90188420221119
-84,-1.83747752385031
-83,-1.76300752252824
-82,-1.67920961399837
-81,-1.58687279039453
-80,-1.48682112565191
-79,-1.37989634640968
-78,-1.26694203252154
-77,-1.14878982770679
-76,-1.0262478656328
-75,-0.900091463494637
-74,-0.771056011864849
-73,-0.639831898990031
-72,-0.507061248577846
-71,-0.373336218573213
-70,-0.239198599205671
-69,-0.10514045607003
-68,0.0283944171201986
-67,0.161008445745268
-66,0.292347802159731
-65,0.422099665485078
-64,0.549989336429632
-63,0.675777304599846
-62,0.799256343198765
-61,0.920248686728917
-60,1.0386033312658
-59,1.1541934838127
-58,1.26691417686409
-57,1.37668005623183
-56,1.48342334406271
-55,1.58709197445643
-54,1.6876478958727
-53,1.78506553232662
-52,1.87933039398612
-51,1.97043782701367
-50,2.05839189218437
-49,2.1432043618371
-48,2.22489382497927
-47,2.30348489079004
-46,2.37900748129457
-45,2.4514962045676
-44,2.52098980043578
-43,2.58753065126126
-42,2.65116435098673
-41,2.7119393261933
-40,2.76990650346046
-39,2.82511901781737
-38,2.87763195753497
-37,2.92750214092969
-36,2.97478792123153
-35,3.01954901591536
-34,3.06184635720555
-33,3.10174196074412
-32,3.1392988096643
-31,3.17458075153688
-30,3.20765240586053
-29,3.23857907995043
-28,3.26742669124685
-27,3.29426169421742
-26,3.31915101016834
-25,3.34216195841101
-24,3.36336218735576
-23,3.38281960422395
-22,3.40060230218642
-21,3.41677848385196
-20,3.43141638014483
-19,3.44458416372772
-18,3.45634985624618
-17,3.46678122879399
-16,3.47594569512647
-15,3.48391019728052
-14,3.49074108339745
-13,3.4965039776857
-12,3.50126364260609
-11,3.50508383351119
-10,3.5080271461218
-9,3.51015485737543
-8,3.51152676033373
-7,3.51220099398502
-6,3.51223386892258
-5,3.51167969001756
-4,3.51059057733389
-3,3.50901628664948
-2,3.5070040310508
-1,3.50459830515408
0,3.50184071357317
1,3.49876980530058
2,3.49542091569148
3,3.49182601773958
4,3.48801358430859
5,3.48400846293158
6,3.47983176471478
7,3.47550076878194
8,3.47102884357209
9,3.46642538615933
10,3.46169578060101
11,3.45684137614249
12,3.45185948591751
13,3.44674340658541
14,3.44148245914494
15,3.43606205096346
16,3.43046375886335
17,3.42466543291942
18,3.41864132044499
19,3.41236220948443
20,3.40579559098854
21,3.39890583872928
22,3.39165440591398
23,3.38400003738695
24,3.37589899626034
25,3.36730530379499
26,3.35817099135615
27,3.34844636329727
28,3.3380802696755
29,3.3270203877739
30,3.31521351149427
31,3.30260584778964
32,3.28914331942218
33,3.27477187345948
34,3.25943779505456
35,3.24308802619127
36,3.22567048921201
37,3.20713441507666
38,3.18743067642639
39,3.16651212564059
40,3.14433393817586
41,3.12085396155943
42,3.09603307047269
43,3.06983552839865
44,3.04222935631777
45,3.01318670891476
46,2.9826842587003
47,2.95070358835181
48,2.91723159143111
49,2.88226088143872
50,2.84579020890859
51,2.80782488592785
52,2.76837721707665
53,2.72746693531772
54,2.68512164081785
55,2.64137724004827
56,2.59627838178464
57,2.54987888580587
58,2.50224215917601
59,2.45344159398561
60,2.40356093933821
61,2.35269463920385
62,2.30094812654662
63,2.24843806289291
64,2.19529251127905
65,2.1416510293484
66,2.08766466831755
67,2.03349586267059
68,1.97931819485138
69,1.92531601900073
70,1.87168392802936
71,1.81862604913581
72,1.76635515437523
73,1.71509157515856
74,1.66506191269036
75,1.61649754039016
76,1.56963289929758
77,1.52470359329658
78,1.48194429760768
79,1.44158650121628
80,1.40385611148478
81,1.3689709568173
82,1.33713823052631
83,1.30855192556255
84,1.28339031506264
85,1.26181353730641
86,1.2439613452662
87,1.2299510801725
88,1.21987592523064
89,1.21380348980319
90,-inf
