"Freq [MHz]","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='1meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='1meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='1meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='1meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='1meter'"
40,-0.22091921552395,-0.244311016313344,-0.295277226858846,-0.459986569652022,-0.612263175491801,-0.192975753895091,-0.249867233200773,-0.376001750146847,-0.398907972916286,-0.542875523714044,-0.207116386506167,-0.245425899759003,-0.32495849734348,-0.45263961516344,-0.567021830491364,-0.233301805855919,-0.285734038251006,-0.397873591921196,-0.479852090085364,-0.605561239115961,-0.217740030738854,-0.256116879197202,-0.329924230008915,-0.437112936004637,-0.66585702866775,-0.274023285987068,-0.278144782673255,-0.427148642012092,-0.461741088485759,-0.622074308658672,-0.266016408381032,-0.359525091281116,-0.403526400521723,-0.505805831092706,-0.719776280808839,-0.251603589473484,-0.349539548146898,-0.452896275315301,-0.56485732059137,-0.643595483724875,-0.274362270992676,-0.302861599282534,-0.377227891536639,-0.547157595539924,-0.665485185267067,-0.300633950065835,-0.356517279551925,-0.495958410230036,-0.5082821183802,-0.78171494435808
41,-0.252639993851122,-0.279684344856306,-0.338446168135154,-0.533058232000247,-0.713291822652842,-0.218632212938646,-0.284554119008631,-0.432786599314023,-0.460231832593964,-0.629489817822308,-0.234961263805757,-0.280023031472142,-0.372271525324232,-0.521463014685361,-0.656804747586974,-0.265539915979583,-0.325687525010738,-0.456748177408971,-0.553960029624635,-0.700432979376763,-0.248184464936847,-0.291047573714564,-0.375561246288911,-0.501278753187857,-0.768648670640412,-0.313420152394197,-0.318889377353838,-0.492847358795472,-0.533797208751385,-0.723354129000527,-0.303490612241858,-0.41380804910342,-0.464028651229362,-0.585739404212548,-0.83827590607931,-0.286325254537328,-0.399262257745816,-0.521303123128938,-0.65307753558896,-0.746353014844249,-0.311291510047009,-0.345713052811529,-0.432013066627281,-0.630276850525936,-0.770234321135618,-0.342036245435696,-0.406575994129624,-0.572342082549469,-0.58499329076562,-0.906446437448713
42,-0.28903623988607,-0.32037408966574,-0.388302548377971,-0.618311987369648,-0.831876340686216,-0.247878003263518,-0.324408577582328,-0.498535002792715,-0.531905305931305,-0.730561291429431,-0.266368837172816,-0.319722928058543,-0.426992456144087,-0.601452147038734,-0.762020264289853,-0.302405529993545,-0.371410584232651,-0.524631785774087,-0.64060018670807,-0.810892691471923,-0.28216303114555,-0.331001331345006,-0.428150214179763,-0.575568994725867,-0.888126747368242,-0.35864131012654,-0.365858493331013,-0.569128077291176,-0.61767226904439,-0.842423134609185,-0.346476395182232,-0.475877153970028,-0.533948508423859,-0.679554032298158,-0.977632531511556,-0.3259765120022,-0.456683586457376,-0.600180223245422,-0.755853202009472,-0.866790596722577,-0.353469541329835,-0.394592389655701,-0.495141082073221,-0.726874292846883,-0.892759132538912,-0.389190327002034,-0.464014318290613,-0.659165991575827,-0.674352116662305,-1.05254420921689
43,-0.330805936001075,-0.367211248708576,-0.44602726855617,-0.717902424682229,-0.97118630097998,-0.281262659073738,-0.370282703120485,-0.57473697484786,-0.615860074354397,-0.848607539016872,-0.301921374392136,-0.365319511427435,-0.490358002451587,-0.69453292240103,-0.885560796909708,-0.3445698723539,-0.423780454396603,-0.602947665823431,-0.742138461382099,-0.939600478325929,-0.320305656365736,-0.376747898598584,-0.4888522537215,-0.661696843501117,-1.02715792545984,-0.410573676283909,-0.419991195365122,-0.657771742464748,-0.715386074574565,-0.982612234806256,-0.39582273180992,-0.546922307453792,-0.614798301037014,-0.789875522794767,-1.14169840248933,-0.371344876621411,-0.523075435407846,-0.69136600160844,-0.875712285124858,-1.00816487236536,-0.401780966840174,-0.450541113926138,-0.568160319234614,-0.83924669551335,-1.03626231314397,-0.443006344383164,-0.530047394524438,-0.758174769609451,-0.778648563041942,-1.22388199062731
44,-0.378747084148736,-0.421152392032514,-0.513011532794579,-0.83437074166328,-1.13494279584348,-0.319414509562081,-0.423169549940966,-0.663132047908426,-0.714415061347848,-0.986576221086492,-0.342281963097799,-0.417736679597456,-0.563818676684412,-0.802958126846612,-1.03088731247493,-0.392810854626272,-0.483808904127545,-0.693338615667751,-0.861415164762354,-1.089655743494,-0.363333579898088,-0.429178092999775,-0.55901178903015,-0.761672926247632,-1.1890908705134,-0.470236472789245,-0.482367407591152,-0.76085352212078,-0.829295839175272,-1.14787395919784,-0.45250548153166,-0.628346445938123,-0.708324664528756,-0.919855381439387,-1.33501631999347,-0.423329697098687,-0.599901874186337,-0.79699184115917,-1.01561268736952,-1.17433543277411,-0.457234824239935,-0.514754124556313,-0.652884547846553,-0.970057599521745,-1.20450916580535,-0.504516648303962,-0.60606959011279,-0.87141168462095,-0.900599447120648,-1.42502289550867
45,-0.433769998250801,-0.483296547692413,-0.590894370141692,-0.970707149993687,-1.32749402239615,-0.363051400156358,-0.484226155561895,-0.765746998052657,-0.830352521242788,-1.14790693700725,-0.388204050874205,-0.47804836338159,-0.649075695037281,-0.929358834063903,-1.20213373064507,-0.448027606473887,-0.552660223465279,-0.797695424564284,-1.00183638315982,-1.26465533707803,-0.41207073355015,-0.489321697211298,-0.640184662739672,-0.877853487251771,-1.37782127327433,-0.538797386541181,-0.554226861626049,-0.880783338348703,-0.962142585516924,-1.34288266502171,-0.517643853322013,-0.721791681805594,-0.816537628704391,-1.07326618191113,-1.56291997127111,-0.482955109077473,-0.688843543391414,-0.919518771495754,-1.17900222753761,-1.36985987119234,-0.520977927015788,-0.588597345021487,-0.751432785795763,-1.12238695086762,-1.40191301798445,-0.574887473742052,-0.693675328324985,-1.00124606435153,-1.04341797198405,-1.66131960407612
46,-0.496910281765076,-0.554903427562696,-0.681605880202908,-1.13041933742277,-1.55389229172696,-0.412992548364818,-0.554799676680944,-0.884937012635251,-0.967006582387273,-1.3365966062825,-0.440541633071825,-0.547500887694709,-0.748122877592984,-1.076801395849,-1.40422544460316,-0.511256252283219,-0.631670547310785,-0.918186566393374,-1.16747933006947,-1.46875334567333,-0.467456018379832,-0.558367203985939,-0.734169129637036,-1.01299363036623,-1.59785992123158,-0.617589168998876,-0.636989168543787,-1.02034789867302,-1.1170989906794,-1.57314222762034,-0.592517701990335,-0.829165073055989,-0.941739933569003,-1.25460711508792,-1.83163900793683,-0.551383332893538,-0.791823076675755,-1.06177445171468,-1.36988048301346,-1.6000946133651,-0.594308041354422,-0.673625416848679,-0.866271467341463,-1.2997836271662,-1.63362607153419,-0.655430077138168,-0.794679894612905,-1.15039828860933,-1.21088737549005,-1.93901934578114
47,-0.569342194589366,-0.637412696417672,-0.787416426310712,-1.31760594784451,-1.81996969716748,-0.47017146634786,-0.636456630899624,-1.02342962834145,-1.12836471376515,-1.55726675924105,-0.500259897748056,-0.627537502364884,-0.863293362957868,-1.24884946655241,-1.64301194563591,-0.583686726348051,-0.722368141434238,-1.05728821762445,-1.36321172526725,-1.70672079803133,-0.530556251402913,-0.637683186509109,-0.843039286958032,-1.17030481349006,-1.85440274856321,-0.708125999573986,-0.732274359848348,-1.18275241758931,-1.29781653717381,-1.84509863832765,-0.678585049666614,-0.95266255753136,-1.08655500283247,-1.46921673631447,-2.14840739501127,-0.629927754499574,-0.911030560323042,-1.22698839661393,-1.59285989006548,-1.87129801692875,-0.678686066845568,-0.771598441098587,-1.00025676889008,-1.50631931317429,-1.90563285748124,-0.747610526760812,-0.911138951049912,-1.32196002372016,-1.40743436678474,-2.26537179184355
48,-0.652391968933495,-0.732463794031731,-0.910991613932104,-1.53703354662952,-2.13241025317752,-0.535649773685299,-0.731014967490581,-1.18437033203104,-1.31918172445878,-1.8152310734021,-0.568446017838871,-0.71982470629701,-0.997310442923904,-1.44963003586274,-1.92541340718655,-0.666680245168993,-0.826494040947513,-1.21781333191058,-1.59482418278997,-1.98400385775957,-0.602579398872915,-0.72884081339778,-0.969180041461338,-1.3535150905749,-2.15340258559789,-0.812118635192632,-0.841922865869933,-1.37165950555543,-1.50846911301687,-2.16625482066567,-0.777498891025587,-1.09478905996989,-1.25395143057985,-1.72338746966981,-2.52157603642213,-0.720064958416222,-1.04894754702771,-1.41882265693325,-1.8532229202183,-2.19073130717603,-0.775746030480017,-0.884496304239169,-1.15667348886609,-1.74664131886817,-2.22484270004077,-0.853057067459035,-1.045364941753,-1.51940686358852,-1.63819501468734,-2.64873964437077
49,-0.747550460205515,-0.841915577805441,-1.05545227245805,-1.79421534109139,-2.49881876106068,-0.610631564888087,-0.840578267257132,-1.37136824634888,-1.54510467292996,-2.11656222857381,-0.646319622195361,-0.826279636208863,-1.15334107977909,-1.68390197304016,-2.25958198638235,-0.761786817514439,-0.946022119699061,-1.40293818910847,-1.86917331203514,-2.30678043013522,-0.684887500360576,-0.833636658695574,-1.11532206306365,-1.56692976687027,-2.50164451384652,-0.931487002814104,-0.968013418894423,-1.59122201947963,-1.75378965647101,-2.54528653974841,-0.89112190665499,-1.25837221992986,-1.44726124795235,-2.02447333664422,-2.96073688568158,-0.823444538435818,-1.2083675039702,-1.641394428326,-2.15697212452301,-2.5667529132808,-0.88730125400635,-1.01452857441989,-1.33926485494663,-2.02602079002852,-2.59917757020625,-0.973563660127433,-1.19993789999242,-1.74660023092993,-1.90906153250048,-3.09871617105955
