"Theta [deg]","GainTotal [] - Freq='0.066GHz' Phi='90deg'"
-89,0.000310855519539565
-88,0.000224454312658314
-87,0.000111871623776514
-86,1.99747725432555E-005
-85,1.3873334037057E-005
-84,0.000176419350166439
-83,0.000607570617453676
-82,0.001423621580807
-81,0.00275630748953761
-80,0.0047517886425058
-79,0.00756952274901135
-78,0.0113810346374846
-77,0.0163685937239666
-76,0.0227238107690353
-75,0.0306461664628307
-74,0.0403414852383852
-73,0.0520203683791668
-72,0.0658966009163186
-71,0.0821855469693437
-70,0.101102548044446
-69,0.122861338352008
-68,0.147672490436328
-67,0.175741903338341
-66,0.207269344161896
-65,0.242447052326575
-64,0.281458414018376
-63,0.32447671245825
-62,0.371663957669965
-61,0.423169797520761
-60,0.479130510009589
-59,0.539668075164674
-58,0.604889323554466
-57,0.674885157373181
-56,0.749729839380309
-55,0.829480344682214
-54,0.914175770455378
-53,1.00383679921735
-52,1.09846521212661
-51,1.1980434499915
-50,1.30253422112929
-49,1.41188015686447
-48,1.52600351720379
-47,1.64480595098184
-46,1.76816831644018
-45,1.89595056969066
-44,2.02799172973416
-43,2.16410992958103
-42,2.30410256348773
-41,2.4477465403391
-40,2.5947986527413
-39,2.74499607044113
-38,2.89805696526796
-37,3.05368127294255
-36,3.21155159486547
-35,3.37133424046127
-34,3.5326804078972
-33,3.6952274981144
-32,3.85860055420698
-31,4.02241381536493
-30,4.18627237196216
-29,4.34977390601606
-28,4.51251049925558
-27,4.67407048948049
-26,4.83404035483197
-25,4.99200660505801
-24,5.1475576588655
-23,5.30028568699968
-22,5.44978840176042
-21,5.595670775213
-20,5.73754667032318
-19,5.87504037157402
-18,6.00778800422524
-17,6.13543883416795
-16,6.25765644321969
-15,6.37411977760263
-14,6.48452407016687
-13,6.58858163957423
-12,6.68602257207304
-11,6.7765952936051
-10,6.860067041738
-9,6.93622424827032
-8,7.00487284428393
-7,7.06583849990585
-6,7.11896681108865
-5,7.16412344533833
-4,7.20119425753413
-3,7.23008538583262
-2,7.2507233361728
-1,7.26305506215198
0,7.26704804508319
1,7.26269037693818
2,7.2499908466903
3,7.22897902836904
4,7.19970536698859
5,7.16224125648371
6,7.11667910193786
7,7.06313235678064
8,7.00173552431304
9,6.93264411193473
10,6.85603452583093
11,6.77210389365389
12,6.6810698029183
13,6.5831699434255
14,6.47866164302952
15,6.36782128743883
16,6.25094361648073
17,6.1283408912983
18,6.00034192925182
19,5.86729100579728
20,5.72954662524773
21,5.58748016501589
22,5.4414744006151
23,5.29192192128359
24,5.13922344852125
25,4.9837860720179
26,4.82602141934548
27,4.66634377732688
28,4.50516818413895
29,4.34290851192252
30,4.17997555993991
31,4.01677517813401
32,3.85370644031201
33,3.69115988512275
34,3.52951584155473
35,3.36914285389911
36,3.21039621905451
37,3.0536166467632
38,2.89912905093115
39,2.74724147767153
40,2.59824417319572
41,2.45240879223189
42,2.30998774534582
43,2.17121368143533
44,2.03629909982238
45,1.90543608482019
46,1.77879615444045
47,1.65653021404989
48,1.53876860529548
49,1.42562124049061
50,1.31717781287615
51,1.2135080737138
52,1.11466216799783
53,1.02067102164009
54,0.931546774238291
55,0.84728325292144
56,0.767856484216056
57,0.693225242330457
58,0.623331633648953
59,0.558101718505116
60,0.497446172409375
61,0.44126098979511
62,0.389428233981341
63,0.341816837401876
64,0.298283456203845
65,0.258673383067978
66,0.222821521555234
67,0.190553424456875
68,0.161686397545308
69,0.136030668827331
70,0.113390621933324
71,0.0935660906843527
72,0.0763537102163899
73,0.0615483183606776
74,0.0489443993345734
75,0.0383375602388028
76,0.0295260294312686
77,0.0223121645955079
78,0.0165039572780683
79,0.0119165198607835
80,0.00837354038093193
81,0.00570869032670162
82,0.00376697052209314
83,0.0024059804723596
84,0.0014970970601868
85,0.000926549250589103
86,0.000596376461046706
87,0.000425259461256469
88,0.000349214059791979
89,0.000322139386736181
