"Freq [MHz]","dB(S(1,1)) []"
100,-9.37316392137247
102,-10.3707087404336
104,-11.337127253526
106,-12.204491415646
108,-12.8904928875376
110,-13.320897009266
112,-13.4618395140541
114,-13.3370647328922
116,-13.0129759396615
118,-12.5665495582351
120,-12.06174134529
122,-11.5422098221004
124,-11.0339285799512
126,-10.5505178493578
128,-10.0979349580164
130,-9.67771275238998
132,-9.28899847961641
134,-8.92975288149611
136,-8.59743787357544
138,-8.28939396366612
140,-8.00304194977975
142,-7.7359820628747
144,-7.48603601483457
146,-7.251258072417
148,-7.02992906845953
150,-6.82054235601487
152,-6.62178424893669
154,-6.43251439779491
156,-6.25174590497059
158,-6.07862731701231
160,-5.91243209898744
162,-5.7525443647993
164,-5.59844231049234
166,-5.44968469160024
168,-5.30589896944294
170,-5.16677199297588
172,-5.03204261664474
174,-4.90149146537435
176,-4.77493872253283
178,-4.6522350667318
180,-4.53325791462697
182,-4.41790726758901
184,-4.30610171219939
186,-4.19777638661681
188,-4.09287968034257
190,-3.99137164488228
192,-3.89322237991928
194,-3.7984106969883
196,-3.70692315145881
198,-3.61875302134712
200,-3.53389941335855
