"Theta [deg]","dB(GainTotal) [] - Freq='0.082GHz' Phi='90deg'"
-90,-inf
-89,-1.28825313350907
-88,-1.2608005419382
-87,-1.21549613527354
-86,-1.15299380774542
-85,-1.074169042834
-84,-0.980083258020329
-83,-0.871943395876978
-82,-0.751059740201017
-81,-0.618804672588048
-80,-0.47657457729225
-79,-0.325756464949325
-78,-0.167700228112115
-77,-0.00369684835940394
-76,0.165037601836991
-75,0.337372658611212
-74,0.512269569740003
-73,0.688783595804025
-72,0.866063309650371
-71,1.04334764065647
-70,1.21996132167002
-69,1.39530929212354
-68,1.568870504425
-67,1.74019148113833
-66,1.90887988259129
-65,2.0745982704294
-64,2.23705819240152
-63,2.39601466630134
-62,2.55126110489187
-61,2.70262469699566
-60,2.84996224095409
-59,2.99315641372318
-58,3.13211245057601
-57,3.2667552055592
-56,3.39702656056159
-55,3.52288315035887
-54,3.64429437172893
-53,3.76124064626123
-52,3.87371190849276
-51,3.98170629326484
-50,4.08522899854844
-49,4.18429130232066
-48,4.27890971431983
-47,4.36910524561707
-46,4.45490278089344
-45,4.53633054009357
-44,4.61341961773823
-43,4.68620358962369
-42,4.7547181779258
-41,4.81900096687067
-40,4.87909116214602
-39,4.93502938811839
-38,4.98685751770519
-37,5.03461853043794
-36,5.07835639485478
-35,5.11811597188692
-34,5.15394293636352
-33,5.18588371416136
-32,5.21398543287584
-31,5.23829588419576
-30,5.25886349643081
-29,5.27573731587325
-28,5.28896699587752
-27,5.29860279271824
-26,5.30469556744034
-25,5.30729679304862
-24,5.30645856649993
-23,5.30223362506107
-22,5.29467536668211
-21,5.28383787410843
-20,5.26977594251764
-19,5.25254511051968
-18,5.23220169440155
-17,5.20880282553204
-16,5.18240649086765
-15,5.15307157651838
-14,5.12085791434191
-13,5.08582633153644
-12,5.04803870319694
-11,5.0075580077854
-10,4.96444838544434
-9,4.91877519905273
-8,4.87060509788538
-7,4.82000608368993
-6,4.76704757894016
-5,4.71180049696001
-4,4.6543373135393
-3,4.5947321395801
-2,4.53306079422169
-1,4.46940087779296
0,4.40383184383384
1,4.33643506931324
2,4.26729392205064
3,4.1964938242237
4,4.12412231071622
5,4.0502690809321
6,3.97502604257386
7,3.89848734576201
8,3.82074940575694
9,3.74191091244312
10,3.66207282464903
11,3.58133834731194
12,3.49981288945758
13,3.41760400095847
14,3.3348212860642
15,3.25157629177061
16,3.16798236921501
17,3.08415450645863
18,3.00020913124759
19,2.91626388263445
20,2.83243735069447
21,2.74884878398511
22,2.66561776487172
23,2.58286385337323
24,2.50070620076191
25,2.41926313477264
26,2.33865171892717
27,2.25898728914336
28,2.18038297146169
29,2.1029491853623
30,2.0267931377449
31,1.95201831318029
32,1.87872396649364
33,1.80700462408605
34,1.73694960062406
35,1.66864253780976
36,1.60216097187624
37,1.53757593622665
38,1.47495160524882
39,1.41434498479502
40,1.35580565412919
41,1.29937556332774
42,1.24508888919633
43,1.19297195176083
44,1.14304319233593
45,1.09531321310077
46,1.04978487705215
47,1.0064534661924
48,0.965306894873112
49,0.926325974381664
50,0.889484724148815
51,0.854750724386856
52,0.822085504550615
53,0.791444961751311
54,0.762779803143847
55,0.736036006344937
56,0.711155292109055
57,0.688075603776599
58,0.666731588393876
59,0.647055074867267
60,0.628975545032475
61,0.61242059407293
62,0.597316377288696
63,0.583588040780763
64,0.571160134158982
65,0.559957003892176
66,0.549903166385354
67,0.540923660284681
68,0.532944377870413
69,0.525892375700236
70,0.519696164909879
71,0.514285981767059
72,0.509594039212412
73,0.505554760211696
74,0.5021049937933
75,0.499184214659495
76,0.496734707245606
77,0.494701735064123
78,0.493033696116664
79,0.491682265090612
80,0.490602522984396
81,0.489753074728894
82,0.489096155296633
83,0.48859772471699
84,0.488227552347093
85,0.487959290685606
86,0.487770538960696
87,0.487642896674997
88,0.487562007262541
89,0.487517591879016
90,-inf
